date,a_x,a_y,a_z,angx,angy,angz,pressure,flag
11.757,0.73,-0.92,9.64,27,-40,-140,20623.4,1
11.863,0.76,-0.96,9.62,25,-39,-141,20619.3,1
11.969,0.78,-0.98,9.63,26,-41,-140,20613.4,1
12.074,0.82,-1.07,9.61,26,-39,-139,20610,1
12.18,0.86,-1.08,9.59,27,-38,-140,20605.3,1
12.286,0.88,-1.16,9.6,28,-39,-139,20597.7,1
12.392,0.89,-1.2,9.56,26,-36,-138,20591.5,1
12.498,0.89,-1.2,9.56,26,-40,-139,20586.3,1
12.604,0.87,-1.25,9.57,28,-38,-135,20581.6,1
12.71,0.84,-1.25,9.56,26,-40,-137,20578.2,1
12.816,0.8,-1.39,9.55,27,-38,-137,20574.7,1
12.921,0.77,-1.45,9.56,26,-40,-137,20569.7,1
13.027,0.75,-1.49,9.54,26,-42,-134,20566.9,1
13.133,0.66,-1.51,9.56,28,-41,-135,20563.9,1
13.239,0.58,-1.58,9.54,28,-41,-135,20561.7,1
13.345,0.5,-1.6,9.53,29,-43,-135,20562.2,1
13.451,0.38,-1.64,9.53,27,-42,-134,20559,1
13.556,0.22,-1.62,9.53,27,-43,-135,20559.9,1
13.662,0.09,-1.68,9.53,27,-45,-136,20562,1
13.768,0.04,-1.68,9.53,30,-44,-136,20563.5,1
13.874,-0.07,-1.71,9.56,27,-44,-136,20564.2,1
13.98,-0.14,-1.68,9.57,26,-47,-136,20566.7,1
14.086,-0.14,-1.73,9.56,31,-47,-136,20567.6,1
14.192,-0.13,-1.72,9.58,30,-44,-136,20568.3,1
14.298,-0.09,-1.72,9.59,29,-47,-134,20569,1
14.403,-0.09,-1.7,9.6,31,-42,-138,20569.2,1
14.509,-0.04,-1.72,9.61,29,-43,-136,20570.2,1
14.615,-0.03,-1.74,9.58,28,-46,-133,20568.2,1
14.721,0.01,-1.72,9.58,28,-48,-135,20567.7,1
14.827,0,-1.73,9.56,28,-45,-133,20569,1
14.933,0.03,-1.71,9.58,30,-44,-138,20567.3,1
15.039,0.1,-1.72,9.57,30,-47,-136,20566.9,1
15.145,0.14,-1.72,9.57,29,-45,-137,20564.2,1
15.245,0.25,-1.73,9.58,30,-43,-137,20561.8,1
15.351,0.34,-1.78,9.56,29,-43,-134,20558.2,1
15.456,0.38,-1.79,9.54,32,-43,-134,20555.6,1
15.562,0.41,-1.85,9.54,31,-45,-133,20554.2,1
15.668,0.44,-1.91,9.5,34,-43,-132,20551.7,1
15.774,0.4,-1.98,9.48,33,-45,-132,20549.1,1
15.88,0.36,-2.05,9.47,32,-46,-132,20548.5,1
15.986,0.27,-2.01,9.47,33,-47,-133,20547.6,1
16.092,0.28,-2.01,9.48,31,-48,-133,20547.4,1
16.198,0.2,-1.94,9.51,33,-45,-134,20548.8,1
16.303,0.13,-1.87,9.52,34,-43,-135,20549.4,1
16.409,0.07,-1.74,9.55,33,-47,-134,20551.6,1
16.515,0.08,-1.69,9.56,31,-48,-135,20551.3,1
16.621,0.08,-1.64,9.57,36,-45,-136,20553.1,1
16.727,0.06,-1.59,9.6,31,-46,-136,20553.1,1
16.833,0.08,-1.6,9.6,33,-47,-135,20555.3,1
16.938,0.08,-1.64,9.6,31,-45,-136,20555.7,1
17.044,0.05,-1.63,9.59,32,-46,-136,20554,1
17.15,0.07,-1.69,9.58,33,-48,-135,20552.9,1
17.256,0.07,-1.69,9.58,35,-45,-135,20552.1,1
17.362,0.03,-1.7,9.56,34,-43,-134,20553.4,1
17.468,0.02,-1.7,9.58,34,-44,-134,20553.5,1
17.574,-0.01,-1.7,9.58,36,-39,-134,20553.9,1
17.679,-0.03,-1.73,9.57,35,-43,-133,20555.5,1
17.785,-0.04,-1.71,9.56,31,-43,-134,20553.9,1
17.891,-0.05,-1.72,9.57,36,-43,-132,20556.1,1
17.997,-0.06,-1.73,9.57,36,-43,-130,20555.5,1
18.103,-0.03,-1.74,9.56,35,-43,-135,20556.4,1
18.209,-0.03,-1.75,9.56,35,-42,-131,20554.1,1
18.315,-0.03,-1.78,9.56,37,-41,-132,20555.8,1
18.421,-0.03,-1.84,9.55,37,-42,-132,20557,1
18.526,-0.01,-1.83,9.55,35,-41,-130,20556.8,1
18.632,0.02,-1.8,9.55,34,-40,-134,20555.9,1
18.738,0.07,-1.81,9.56,38,-36,-132,20556.9,1
18.844,0.1,-1.77,9.59,36,-39,-133,20553.5,1
18.95,0.15,-1.71,9.58,39,-38,-133,20554.3,1
19.056,0.15,-1.65,9.58,35,-36,-135,20554.3,1
19.162,0.17,-1.65,9.59,35,-38,-132,20553.9,1
19.267,0.15,-1.64,9.58,33,-35,-131,20553.4,1
19.373,0.13,-1.59,9.6,36,-35,-131,20553.3,1
19.479,0.11,-1.58,9.58,36,-34,-132,20552.8,1
19.585,0.08,-1.56,9.6,34,-36,-135,20552.9,1
19.691,0.05,-1.53,9.59,33,-35,-133,20554.3,1
19.797,-0.04,-1.47,9.6,34,-36,-133,20555.2,1
19.902,-0.04,-1.47,9.6,33,-35,-133,20555.5,1
20.008,-0.08,-1.44,9.61,34,-36,-132,20556.5,1
20.114,-0.09,-1.44,9.63,35,-35,-132,20558.4,1
20.22,-0.1,-1.4,9.65,29,-33,-134,20558.9,1
20.326,-0.1,-1.39,9.64,32,-32,-131,20561,1
20.432,-0.09,-1.41,9.64,34,-34,-134,20560.8,1
20.538,-0.06,-1.43,9.64,32,-31,-133,20562.2,1
20.643,-0.06,-1.45,9.63,33,-32,-131,20562.8,1
20.749,-0.05,-1.52,9.61,30,-33,-133,20562.3,1
20.855,0,-1.6,9.6,31,-32,-133,20563.4,1
20.961,0.02,-1.6,9.6,30,-31,-132,20562.4,1
21.067,0.05,-1.63,9.61,33,-33,-132,20562.6,1
21.173,0.07,-1.62,9.59,32,-33,-132,20562.3,1
21.279,0.07,-1.62,9.61,32,-31,-132,20563.1,1
21.385,0.06,-1.71,9.57,34,-30,-132,20564.7,1
21.49,0.04,-1.64,9.58,31,-34,-132,20563,1
21.596,0.01,-1.62,9.59,31,-31,-135,20562.5,1
21.702,0.03,-1.62,9.58,34,-32,-133,20562.7,1
21.808,0.07,-1.67,9.58,32,-29,-132,20563.4,1
21.914,0.04,-1.67,9.59,32,-31,-134,20562.8,1
22.02,0.05,-1.72,9.57,31,-34,-129,20562.2,1
22.125,0.12,-1.79,9.56,30,-32,-133,20561.7,1
22.231,0.14,-1.85,9.55,30,-32,-130,20562.5,1
22.337,0.17,-1.91,9.51,31,-33,-134,20560.6,1
22.443,0.21,-2,9.51,31,-34,-130,20561.2,1
22.549,0.22,-2.04,9.48,28,-32,-131,20559.4,1
22.655,0.22,-2.04,9.49,31,-31,-131,20560,1
22.761,0.24,-2,9.5,27,-34,-131,20560.9,1
22.867,0.23,-2.05,9.49,27,-32,-132,20561.6,1
22.973,0.24,-1.99,9.5,28,-35,-133,20561.1,1
23.078,0.23,-1.97,9.5,29,-33,-131,20562.9,1
23.184,0.25,-1.9,9.5,26,-34,-132,20563.1,1
23.29,0.27,-1.91,9.53,26,-35,-132,20563.9,1
23.396,0.25,-1.84,9.54,27,-35,-135,20564.3,1
23.502,0.22,-1.65,9.58,25,-33,-136,20565.2,1
23.608,0.23,-1.47,9.6,26,-38,-137,20567,1
23.713,0.17,-1.42,9.61,25,-36,-139,20567.7,1
23.819,0.17,-1.3,9.63,23,-34,-141,20569.1,1
23.925,0.1,-1.23,9.66,21,-38,-142,20571.6,1
24.031,0.04,-1.2,9.67,22,-39,-142,20574.8,1
24.137,0.05,-1.13,9.68,21,-34,-142,20572.9,1
24.243,0.05,-1.09,9.68,22,-36,-139,20574.5,1
24.349,0.06,-1.01,9.7,17,-40,-140,20577.1,1
24.454,0.09,-1,9.7,18,-33,-143,20576.6,1
24.56,0.09,-0.98,9.7,19,-34,-144,20574.9,1
24.666,0.03,-0.95,9.69,21,-36,-143,20576.7,1
24.772,0.04,-0.97,9.68,19,-36,-141,20578.4,1
24.878,0.01,-0.95,9.69,19,-36,-141,20578.6,1
24.984,-0.05,-1.03,9.68,19,-37,-143,20579,1
25.09,-0.04,-1.05,9.67,17,-38,-143,20582.9,1
25.195,-0.06,-1.04,9.68,19,-38,-143,20583.8,1
25.301,-0.1,-1,9.69,18,-39,-144,20584.8,1
25.407,-0.08,-1.02,9.67,20,-40,-143,20587,1
25.513,-0.13,-1.01,9.69,18,-41,-145,20589.4,1
25.619,-0.12,-0.99,9.71,17,-41,-144,20590.9,1
25.725,-0.07,-0.97,9.72,18,-37,-143,20592.6,1
25.831,-0.06,-0.97,9.71,16,-40,-144,20593.1,1
25.937,0.07,-0.92,9.73,18,-40,-146,20592,1
26.043,0.11,-0.95,9.71,17,-37,-146,20591.5,1
26.149,0.17,-0.95,9.72,17,-37,-145,20588.4,1
26.254,0.28,-0.95,9.7,14,-38,-145,20586.5,1
26.36,0.43,-0.98,9.68,13,-36,-145,20582,1
26.466,0.51,-0.99,9.67,14,-37,-146,20577.6,1
26.572,0.68,-1.01,9.66,16,-35,-146,20574.1,1
26.678,0.82,-1.01,9.63,19,-34,-146,20570,1
26.784,0.9,-1.05,9.61,14,-36,-145,20565.2,1
26.89,1.02,-1.07,9.58,16,-33,-147,20561.6,1
26.996,1.12,-1.16,9.56,20,-34,-145,20553.7,1
27.102,1.17,-1.21,9.54,17,-32,-143,20551.3,1
27.208,1.16,-1.21,9.53,16,-31,-143,20546.9,1
27.314,1.21,-1.24,9.51,17,-34,-143,20545.6,1
27.419,1.22,-1.23,9.51,18,-31,-144,20542.5,1
27.525,1.19,-1.15,9.54,15,-34,-144,20540.1,1
27.632,1.19,-0.99,9.56,14,-30,-145,20539,1
27.737,1.19,-0.79,9.57,16,-30,-146,20537.6,1
27.843,1.17,-0.64,9.61,13,-29,-148,20536.1,1
27.949,1.13,-0.4,9.62,12,-31,-149,20536.9,1
28.055,1.03,-0.3,9.64,8,-29,-148,20537.5,1
28.161,0.95,-0.24,9.67,9,-31,-150,20540.4,1
28.266,0.76,-0.19,9.67,7,-32,-151,20543.6,1
28.372,0.52,-0.28,9.68,7,-33,-152,20547.7,1
28.478,0.24,-0.34,9.7,12,-36,-150,20551.4,1
28.584,0.1,-0.32,9.7,9,-38,-149,20556.3,1
28.69,-0.12,-0.39,9.73,9,-39,-152,20560.4,1
28.796,-0.32,-0.39,9.75,12,-40,-149,20563.3,1
28.901,-0.38,-0.42,9.74,12,-39,-151,20568.7,1
29.007,-0.47,-0.5,9.75,10,-40,-150,20570.9,1
